kind,item_id,title,governance_status,enabled_flag,technical_chain,opening_category,reason,evidence
量表,academic_buoyancy_4,学业复原力/学业浮力量表,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,afq_y8_avoidance_fusion,青少年回避与融合问卷（AFQ-Y8）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,cfi2_cognitive_flexibility,认知灵活性问卷中文版（CFI-2）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,regulatory_focus_general_18,一般调节聚焦问卷,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,fmi_12_mindfulness,弗赖堡正念调查量表（FMI-12）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,hplp_c_health_promoting_lifestyle,健康促进生活方式量表（HPLP，40题）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,swls_life_satisfaction,生活满意度量表（SWLS）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,rfq8_reflective_functioning,反思功能问卷8题（RFQ-8）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,perceived_social_support_psss,领悟社会支持量表（PSSS）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,gad7_anxiety,GAD-7 焦虑相关自评量表,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,phq9_cesd10_depression,PHQ-9 情绪低落相关自评量表,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,big_five_bfi_60,大五人格问卷（60题简版）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,attribution_style_student_36,归因方式问卷（学生用）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,ghq12_general_health,一般健康问卷（GHQ-12）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,epq_emotional_stability_24,EPQ 情绪稳定性量表,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,emotional_intelligence_eis_33,青少年情绪智力量表（EIS）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,regulatory_focus_relationship_18,关系情境中的行动关注方式,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,micro_ysq_relationship_18,关系中的常见担心与期待,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,relationship_initiation_intention_action,关系主动性：想法、意愿与行动,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,who5_wellbeing,WHO-5身心健康指标,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,cognitive_curiosity_student,认知好奇量表（中文初中生版ECS-C）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,big_five_tipi_10,10项目大五人格量表（TIPI）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
训练卡,emotion_naming,情绪识别卡：先命名情绪,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,three_second_pause,3 秒暂停卡：开口前先停一下,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,cognitive_flexibility,认知灵活化卡：换一种解释,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,nonjudgmental_response,非评判回应卡：把批评改成确认,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,alternative_behavior,替代行为卡：用具体请求替代威胁,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,cbt_auto_thought_student,自动想法卡：把担心写成一句话,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,student_emotion_naming,情绪命名卡：说出现在最明显的感受,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,self_support_statement,自我支持卡：把责备换成支持句,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,sandplay_expression_01,沙盘表达卡：给压力选一个象征物,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,parent_after_conflict_repair,冲突后一句修复,manual_reviewed_small_batch,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,parent_repair_question,一个修复问题,manual_reviewed_small_batch,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,parent_body_signal_check,身体信号小检查,manual_reviewed_small_batch,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,student_exam_body_map,考试前身体地图,manual_reviewed_small_batch,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,student_two_thoughts,给想法找第二种说法,manual_reviewed_small_batch,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,prfq_pm_awareness,把判断换成观察,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,prfq_cm_tolerance,给不知道留一点空间,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,prfq_ic_curiosity,只问一个开放问题,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,erq_reappraisal_parent,家长认知重评卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,erq_suppression_release,家长低风险表达卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,repair_after_rupture,冲突后修复卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,validation_before_advice,先确认再建议卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,parent_body_grounding,家长身体落地卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,specific_request_replace_threat,具体请求替代威胁卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,one_open_question,一个开放问题卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,scs_self_kindness,自我善意句卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,scs_common_humanity,共同人性卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,scs_mindful_moment,一分钟情绪观察卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,erq_reappraisal_student,学生第二种解读卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,erq_expression_gentle,温和表达卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,rsca_emotion_regulation,三步稳定情绪卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,rsca_positive_cognition,小事实记录卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,exam_micro_start,考试 10 分钟启动卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,auto_thought_rewrite,自动想法改写卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,body_scan_before_study,学习前身体扫描卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_self_support,自我支持卡：把责备换成支持句,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_emotion_observation,一分钟情绪观察卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_emotion_naming,情绪命名卡：说出现在最明显的感受,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_auto_thought,自动想法卡：把担心写成一句话,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_second_explanation,给想法找第二种说法,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_gentle_expression,温和表达卡：说出感受和需要,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_open_question,一个开放问题卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
训练卡,relationship_bounded_micro_action,带边界的微行动卡,pilot_ready,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/training_cards.json；/api/cards；小程序 training-card 页面
课程,understand_child_emotion,理解孩子的情绪,draft_requires_psychology_review,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/courses.json；/api/courses；小程序 course-detail 页面
课程,parent_emotion_regulation_intro,家长情绪调节入门,draft_requires_psychology_review,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/courses.json；/api/courses；小程序 course-detail 页面
课程,nonjudgmental_companion,非评判陪伴方法,draft_requires_psychology_review,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/courses.json；/api/courses；小程序 course-detail 页面
课程,repair_after_conflict_course,冲突后的关系修复,draft_requires_psychology_review,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/courses.json；/api/courses；小程序 course-detail 页面
课程,exam_pressure_communication,考试压力下的亲子沟通,draft_requires_psychology_review,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/courses.json；/api/courses；小程序 course-detail 页面
项目,self_compassion_exam_anxiety,考试焦虑下的自我关怀书写,pilot_draft,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/programs.json；/api/programs；小程序 program-detail 页面
项目,self_compassion_relationship_growth,亲密关系中的自我成长书写,pilot_draft,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/programs.json；/api/programs；小程序 program-detail 页面
项目,academic_pressure_sleep_health,学业压力与睡眠健康促进,pilot_draft,True,完整,待人工签字,治理状态或独立审核证据未达到生产开放条件,content/programs.json；/api/programs；小程序 program-detail 页面
画像模型,1_王季璇_数据及数据分析结果_亲子沟通_学业浮力_情绪弹性__1_王季璇_数据及数据分析结果_亲子沟通_学业浮力_情绪弹性_总数据_王季璇230720_sav__emotional_resilience_11,1_王季璇_数据及数据分析结果_亲子沟通_学业浮力_情绪弹性__1_王季璇_数据及数据分析结果_亲子沟通_学业浮力_情绪弹性_总数据_王季璇230720_sav__emotional_resilience_11,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_001_bcfee7ab26.json；worksheet=emotional_resilience_11
画像模型,2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据__2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据_研究一数据合集_父母调查数据_问卷星_sav__parent_reflective_functioning_prfq,2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据__2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据_研究一数据合集_父母调查数据_问卷星_sav__parent_reflective_functioning_prfq,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_002_3bfd36b18c.json；worksheet=parent_reflective_functioning_prfq
画像模型,2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据__2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据_研究一数据合集_父母调查数据_问卷星_sav__rfq8_reflective_functioning,2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据__2_李霞庆_父母反思功能对初中生情绪智力的影响_论文数据_研究一数据合集_父母调查数据_问卷星_sav__rfq8_reflective_functioning,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_003_636b8ce003.json；worksheet=rfq8_reflective_functioning
画像模型,3_夏媛媛_2024年9月初测_初中生自我关怀__3_夏媛媛_2024年9月初测_初中生自我关怀_高一数据10_14_sav__rsca_adolescent_resilience,3_夏媛媛_2024年9月初测_初中生自我关怀__3_夏媛媛_2024年9月初测_初中生自我关怀_高一数据10_14_sav__rsca_adolescent_resilience,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_004_5e04f4bf32.json；worksheet=rsca_adolescent_resilience
画像模型,5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响__5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响_数据和问卷_数据_209份最终数据_sav__hplp_c_health_promoting_lifestyle,5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响__5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响_数据和问卷_数据_209份最终数据_sav__hplp_c_health_promoting_lifestyle,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_005_e6d75f52a4.json；worksheet=hplp_c_health_promoting_lifestyle
画像模型,5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响__5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响_数据和问卷_数据_209份最终数据_sav__self_compassion_scs_cn,5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响__5_牛至旭_中年女性自我关怀现状及其对主观幸福感的影响_数据和问卷_数据_209份最终数据_sav__self_compassion_scs_cn,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_006_fe618aedb8.json；worksheet=self_compassion_scs_cn
画像模型,6_高鸣聪_目标感对大学生健康促进行为的影响_自我关怀的中介作用__6_高鸣聪_目标感对大学生健康促进行为的影响_自我关怀的中介作用_309原始数据240325_sav__hplp_c_health_promoting_lifestyle,6_高鸣聪_目标感对大学生健康促进行为的影响_自我关怀的中介作用__6_高鸣聪_目标感对大学生健康促进行为的影响_自我关怀的中介作用_309原始数据240325_sav__hplp_c_health_promoting_lifestyle,deprecated,False,模型产物存在,历史对照,模型已审核但已被指定主模型替代，不参与运行时匹配,content/profiles/profile_007_9b08783201.json；worksheet=missing
画像模型,7_研究一_孙天娇_不健康体重控制行为__7_研究一_孙天娇_不健康体重控制行为_研究一数据分析_孙天娇0902_n_745_另一个745_sav__regulatory_focus_general_18,7_研究一_孙天娇_不健康体重控制行为__7_研究一_孙天娇_不健康体重控制行为_研究一数据分析_孙天娇0902_n_745_另一个745_sav__regulatory_focus_general_18,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/profile_008_706cff6b7d.json；worksheet=regulatory_focus_general_18
画像模型,task12_micro_ysq_relationship_18_profile_v1,task12_micro_ysq_relationship_18_profile_v1,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/task12_micro_ysq_relationship_18_profile_model.json；worksheet=micro_ysq_relationship_18
画像模型,task12_regulatory_focus_relationship_18_profile_v1,task12_regulatory_focus_relationship_18_profile_v1,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/task12_regulatory_focus_relationship_18_profile_model.json；worksheet=regulatory_focus_relationship_18
画像模型,task12_relationship_initiation_intention_action_profile_v1,task12_relationship_initiation_intention_action_profile_v1,pilot_approved,True,模型产物存在,开放,模型与对应量表均达到准入条件,content/profiles/task12_relationship_initiation_intention_action_profile_model.json；worksheet=relationship_initiation_intention_action
研究分析,情感计算聚合,情感计算聚合,legacy_unverified,False,离线脚本+研究者只读API,继续隐藏,产物缺失、样本不足或质量状态未通过,analysis/text_analysis；outputs/text_analysis/text_analysis_summary.json；GET /api/text-analysis/summary
研究分析,语义共现网络,语义共现网络,missing,False,离线脚本存在、当前产物缺失,继续隐藏,产物缺失、样本不足或质量状态未通过,analysis/text_analysis；outputs/text_analysis/semantic_network_summary.json；GET /api/text-analysis/summary
研究分析,家庭拓扑审计,家庭拓扑审计,missing,False,离线脚本存在、当前产物缺失,继续隐藏,产物缺失、样本不足或质量状态未通过,analysis/text_analysis；outputs/text_analysis/family_topology_audit_summary.json；GET /api/text-analysis/summary
技术入口,miniprogram_pages,小程序页面,implemented,True,51页已注册,开放,页面注册完整，具体内容仍受后端治理,apps/miniprogram/app.json
技术入口,web_research_dashboard,Web研究后台,implemented,True,角色路由+API客户端,研究者受控,研究后台按角色授权，不向普通用户开放,apps/web/src/main.tsx；ResearchDashboard.tsx
技术入口,risk_review,风险人工复核,implemented,True,API+数据库+后台,研究者受控,高风险只进入人工复核，不生成普通自动建议,backend/routes/risk_review.py；risk_review_records
